"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"411","DEE Development Engineers Ltd","DEEDEV","P&F | F.A","-1.85%","265.8","51,162"
"529","Aeroflex Industries Ltd","AEROFLEX","P&F | F.A","-1.85%","172.82","10,08,094"
"141","Tejas Networks","TEJASNET","P&F | F.A","-1.86%","589.85","4,83,320"
"626","Mangalore Refinery And Petrochemicals Limited","MRPL","P&F | F.A","-1.86%","121.65","7,45,193"
"23","Tata Chemicals Limited","TATACHEM","P&F | F.A","-1.87%","917.8","3,38,123"
"711","Munjal Auto Industries Limited","MUNJALAU","P&F | F.A","-1.87%","88.63","4,00,651"
"663","Bank Of India","BANKINDIA","P&F | F.A","-1.88%","110.27","39,99,869"
"746","Nhpc Limited","NHPC","P&F | F.A","-1.88%","78.34","1,16,87,477"
"381","Gujarat State Petronet Limited","GSPL","P&F | F.A","-1.89%","290.7","2,64,833"
"112","Healthcare Global Enterprises Limited","HCG","P&F | F.A","-1.9%","673.15","1,08,225"
"280","Mamata Machinery Ltd","MAMATA","P&F | F.A","-1.9%","394.6","1,57,540"
"458","Orient Cement Limited","ORIENTCEM","P&F | F.A","-1.9%","227.5","2,75,946"
"511","Tribhovandas Bhimji Zaveri Limited","TBZ","P&F | F.A","-1.9%","186","1,25,124"
"486","Ncc Limited","NCC","P&F | F.A","-1.91%","207.93","18,26,727"
"91","Can Fin Homes Limited","CANFINHOME","P&F | F.A","-1.92%","725.65","1,16,881"
"157","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","-1.92%","561.8","18,15,158"
"223","Akums Drugs & Pharmaceuticals Ltd","AKUMS","P&F | F.A","-1.93%","467.9","4,53,844"
"444","Fineotex Chemical Limited","FCL","P&F | F.A","-1.93%","236.8","1,46,349"
"603","Som Distilleries & Breweries Limited","SDBL","P&F | F.A","-1.93%","136.73","6,59,333"
"222","Delhivery Ltd","DELHIVERY","P&F | F.A","-1.95%","469.15","26,25,093"
"398","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","-1.95%","274.45","1,24,55,062"
"621","Credo Brands Marketing Ltd","MUFTI","P&F | F.A","-1.95%","125.02","84,057"
"263","Hindustan Zinc Limited","HINDZINC","P&F | F.A","-1.96%","421.7","11,39,531"
"314","Asian Energy Services Ltd","ASIANENE","P&F | F.A","-1.96%","360.7","3,10,217"
"703","Radhika Jeweltech Ltd","RADHIKAJWE","P&F | F.A","-1.96%","93.49","3,55,531"
"554","Bliss Gvs Pharma Limited","BLISSGVS","P&F | F.A","-1.97%","159.6","3,87,589"
"685","Rajoo Engineers Ltd","RAJOOENG","P&F | F.A","-1.97%","101.39","3,29,259"
"695","Nbcc (india) Limited","NBCC","P&F | F.A","-1.97%","98.9","70,33,332"
"168","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","-1.98%","541.75","4,66,807"
"499","City Union Bank Limited","CUB","P&F | F.A","-1.98%","198.54","17,09,769"
"515","Jm Financial Limited","JMFINANCIL","P&F | F.A","-1.98%","182.98","38,05,904"
"533","Precision Camshafts Limited","PRECAM","P&F | F.A","-1.98%","170.63","1,41,399"
"382","Capacite Infraprojects Ltd","CAPACITE","P&F | F.A","-2%","289.35","1,04,733"
"551","Anant Raj Global Ltd","TARC","P&F | F.A","-2%","161.1","3,38,163"
